Category,Time Published,Title,Description,Full Text
Jahon,23:12,Gurjiston poytaxtida parlament saylovlari natijasiga qarshi norozilik namoyishlari boshlandi,"Gurjiston prezidenti Salome Zurabishvili mitingda chiqish qilib, saylov natijalarini tan olmagan xalqaro yetakchilar bilan gaplashganini ma’lum qildi.","Gurjistonda o‘tkazilgan parlament saylovlari natijasiga qarshi aksiya ishtirokchilari Tbilisi markazida to‘plandi, deb xabar beradi Paper Kartuli nashri.Qayd etilishicha, namoyishchilar parlament binosi oldida aksiya o‘tkazmoqda. Ular Rustaveli prospektini yopib qo‘ygan.Norozilik namoyishi ishtirokchilari 28 oktyabr kuni kechqurun Gurjistonga tashrif buyurgan Vengriya bosh vaziri Viktor Orbanni hushtaklar bilan kutib olgan. Mahalliy OAV ma’lumotlariga ko‘ra, u Rustaveli prospektidagi «Marriott» mehmonxonasiga joylashgan. Orban parlament saylovlarida g‘olib chiqqan rossiyaparast «Gurjiston orzusi» partiyasini g‘alaba bilan birinchi bo‘lib tabriklagan edi.Gurjiston prezidenti Salome Zurabishvili mitingda chiqish qildi. U saylov natijalarini tan olmagan xalqaro yetakchilar bilan gaplashganini bildirdi. «Biz ovoz berish borasidagi o‘z konstitutsion huquqimizni himoya qilish uchun kurashamiz. Hozir pessimizmning vaqti emas, hozir xotirjamlik bilan boshni ko‘targan holda o‘z ovozimizni himoya qilish muhim», — deydi Zurabishvili.«Yagona milliy harakat» partiyasi yetakchilaridan biri Georgiy Vashadze ham mitingda nutq so‘zlab, muxolifat qayta ovoz berish jarayonlari o‘tkazilishini talab qilishini aytdi.Meduza nashriga ko‘ra, Tbilisidagi kuchishlatar tuzilmalar namoyishlar o‘tkazilayotgan ko‘chaga to‘plangan. Hozircha qo‘lga olingan namoyishchilar yoki kuch tuzilmalari vakillari bilan to‘qnashuvlar sodir bo‘lgani bo‘yicha biror ma’lumot yo‘q.26 oktyabr kuni Gurjistonda parlament saylovlari bo‘lib o‘tdi. Dastlabki natijalarga ko‘ra, hukmron «Gurjiston orzusi» yetakchilik qildi. Prezident Zurabishvili hamda muxolifat natijalarni tan olmadi. AQSh Davlat departamenti esa xalqaro kuzatuvchilar xulosalarini tekshirishga chaqirdi."
Jahon,22:49,NATO KXDR askarlariga qarshi nima qilmoqchi?,Rossiya-Ukraina urushi fonida KXDR askarlarining jang maydonida mavjudligini tasdiqlashi bilan hayratlanarli tus oldi. G‘arb bu borada biror qarorga kelmagan. NATO Pyongyangning Ukrainadagi ishtirokiga qarshi qanday qaror qabul qiladi?,"Kun.uzʼning «Geosiyosat» dasturida tahlilchilar Shuhrat Rasul, Kamoliddin Rabbimov va Abduvali Soyibnazarov mavzuni muhokama qildi.KXDRning Ukrainaga Rossiya tomonda urush olib borish uchun harbiy yuborishiga nima deysiz?Abduvali Soyibnazarovning ta’kidlashicha, Shimoliy Koreya askarlari Rossiya qo‘shini tarkibida urush olib borishi Rossiya singari katta imperiya uchun sharmandali holat. Ammo tahlilchi hozirgacha Shimoliy Koreya askarlaridan birortasi Ukraina tomonidan asirga olinmagani va 1 noyabrdan shimoliy koreyalik askarlar jang maydoniga jalb etilishi mumkinligini aytib o‘tadi. Shuningdek, siyosatshunos KXDR askarlari urushdan keyingi tiklash jarayoniga jalb qilinishi mumkin degan fikrni ham keltiradi.«Shimoliy Koreya askarlari Rossiya g‘arbiga yuborilishi Rossiyaga bo‘lgan agressiya ta’sirida bo‘lishi mumkin. Ya’ni, bu askarlar Kurskka yuboriladi va urush jarayoniga jalb qilinadi. Ammo NATO qo‘shini Rossiya sarhadlariga hujum qilishi bu – qiyin masala, chunki G‘arbning Ukrainaga yordam kuchlarini yuborishiPutinning jahlini chiqarib, yadro quroli bilan tahdid qilishiga olib kelgan edi. Bu jarayonning avj olishini xohlamagan G‘arb Ukrainaga yuborayotgan yordamini anchagina kamaytirgan. Frontdagi vaziyatning Rossiya foydasiga ishlashi shundan bilinadi»,Abduvali Soyibnazarovning fikrlariga qarshi holda frontda bo‘lib o‘tayotgan voqealarni Shuhrat Rasul quyidagicha izohlaydi: «6 nafar Shimoliy Koreya askarlari Ukrainaga asirga tushgan va buni butun dunyo OAVda uchratish mumkin. Ahvol shunday davom etar ekan, NATO boshchiligida harbiy alyans tuzilishi va Kursk ostonasiga olib kirilishi muqarrar masala bo‘lib turibdi. Bu esa geosiyosatda ahvolni yanada murakkablashtiradi, hatto 3-jahon urushi boshlanishi ham mumkin. Janubiy Koreya va Yaponiya ham bu jangga qo‘shilishi mumkin. Bilamizki, bu ikki davlatning harbiy, iqtisodiy qudrati kuchli 10 talik davlatlar ichida turadi. Shimol esa doimiy yadro tahdidi bilan dunyo hamjamiyatini vahimaga solishi aniq», — deydi Soyibnazarov.G‘arb KXDR harbiylari Ukrainada mavjudligini tasdiqladi, lekin alyans qanday chora ko‘radi?Kamoliddin Rabbimov bu jarayonga ko‘riladigan chora Amerikadagi saylov prizmasidan qaralib belgilanadi, degan fikrni keltiradi.Shuningdek, tahlilchi NATO va Janubiy Koreya tomonidan berilgan bayonotda Shimoliy Koreya askarlari Rossiyadagi jang maydoniga tortilishi aniq ekanini aytib o‘tadi. Kim Chong In esa Rossiyadagi urush jarayonidan foydalanib, Janubiy Koreya bilan ham aloqalarni uzayotgani va quyushqondan chiquvchi turli harakatlarni bajarayotgani haqida ham aytib o‘tiladi.NormuhammadAli Abdurahmonov suhbatlashdi."
Fan-texnika,22:39,iPhone smartfonlari uchun birinchi sun’iy intellekt funksiyalari chiqarildi,Ammo Apple Intelligence faqat iPhone 15 Pro/Pro Max va iPhone 16 smartfonlarida mavjud.,"Apple kompaniyasi iOS 18.1 tizimini chiqardi. Ushbu yangilanish diqqatga sazovordir, chunki yozda taqdim etilgan sun’iy intellektga (SI) asoslangan Apple Intelligence funksiyalariga birinchi marta ega bo‘ldi.iOS 18.1 tizimiga yangilanish orqali quyidagi SI xususiyatlarini olish mumkin:- Matn bilan ishlash uchun Writing Tools va bildirishnomalar uchun SI xulosasi;- Photos ilovasida fotosuratdan ba’zi elementlarni olib tashlash uchun Clean Up funksiyasi;- Safari orqali veb-sahifani o‘qiyotganda SI uning qisqacha mazmunini aytib berishi mumkin;- Elektron pochtani «aqlli» saralash;- Matn so‘rovi asosida slayd-shou yaratish.- Tez-tez ishlatiladigan ilovalardan faqat eng muhim bildirishnomalarni ko‘rsatadigan maxsus SI fokus rejimi.Yangilanish hajmi 1,8 Gb, lekin Apple Intelligence funksiyalari uchun kamida 4 Gb bo‘sh joy kerak bo‘ladi. XS smartfonidan boshlab barcha iPhone egalari IOS 18.1 tizimini olishi mumkin. Ammo Apple Intelligence faqat iPhone 15 Pro/Pro Max va iPhone 16 smartfonlarida mavjud.Sun’iy intellektni qo‘llab-quvvatlamaydigan iPhone qurilmalari uchun boshqa bir nechta foydali xususiyatlar ham tayyorlangan. Ehtimol, eng muhimi, telefon suhbatlarini yozib olish va transkripsiya qilish imkoniyatidir. Shuningdek, Siri dizayni va funksionalligi ham yangilangan.ChatGPT integratsiyasi va Genmoji bilan Image Playground funksiyalarini o‘z ichiga olgan Apple Intelligence xususiyatlari iOS 18.2 tizimida yil oxirigacha chiqariladi. Tizim 2025 yilning bahorida iOS 18.3 yoki 18.4 versiyalarining chiqarilishi bilan to‘liq ishga tushadi."
Jahon,22:18,Bayden prezidentlik saylovida muddatidan oldin ovoz berdi,Ovoz berish uchun Jo Bayden Delaver shtatining Uilmington shahridagi saylov uchastkasiga tashrif buyurdi.,"AQSh prezidenti Jo Bayden 28 oktyabr kuni prezidentlik saylovida muddatidan oldin ovoz berdi. Bu haqda CNBC-TV xabar qildi.Ovoz berish uchun Bayden Delaver shtatining Uilmington shahridagi saylov uchastkasiga tashrif buyurdi. Aynan shu shaharda davlat rahbarining shaxsiy qarorgohi joylashgan.Bayden saylov uchastkasiga kiraverishda navbatda turdi. Navbati yetgach, yopiq kabinada ovoz berdi. U jurnalistlarga hech qanday izoh bermadi.AQSh prezidentlik saylovi 5 noyabr kuni bo‘lib o‘tadi. Unda Demokratik partiyadan nomzod, AQSh vitse-prezidenti Kamala Harris va respublikachi nomzod, sobiq prezident Donald Tramp asosiy raqib bo‘lishi kutilmoqda."
Jahon,22:16,Volkswagen Germaniyadagi kamida uchta zavodini yopadi,"Avtokonsern rahbariyatining ogohlantirishicha, ishlashni davom etadigan xodimlar ish haqi 10 foizga qisqarishi va kelgusi ikki yilda oshirilmasligiga tayyor turishi kerak.","Volkswagen kompaniyasi Germaniya hududida kamida uchta zavodini yopadi va o‘n minglab ish o‘rinlarini qisqartiradi. Bu haqda konsernning Volfsburgdagi ishlab chiqarish kengashi ma’lum qildi.«Direktorlar kengashi Germaniyada kamida uchta zavodni yopmoqchi. Bunday qisqartirishlar zaruriy chora hisoblanadi», — deydi ishlab chiqarish kengashi rahbari Daniel Kavallo.Uning so‘zlariga ko‘ra, qisqartirishlar baribir VW’ning barcha zavodlariga ta’sir ko‘rsatadi, butun boshli departamentlar yopilishi yoki xorijga ko‘chirilishi mumkin. «Ushbu rejalar VW’ning barcha zavodlariga taalluqli. Ularning hech biri bundan chetda qolmaydi», — deya ta’kidlaydi Kavallo.Qayd etilishicha, konsernda ishlashni davom etadigan xodimlar ish haqi 10 foizga qisqarishi va kelgusi ikki yilda oshirilmasligiga tayyor turishi kerak.Germaniya kansleri Olaf Sholsning bu boradagi pozitsiyasi aniq: avtokonsern rahbariyatining o‘tmishdagi barcha ehtimoliy xato qarorlari «ishchilarga zarar yetkazmasligi kerak».Volkswagen Germaniyada 10 ta zavodini boshqaradi, ularning oltitasi Quyi Saksoniyada, uchtasi — Saksoniyada va bittasi Gessenda joylashgan. Konsernning Germaniyadagi zavodlarida 120 mingga yaqin xodim faoliyat yuritadi.Rejalashtirilayotgan ishlab chiqarishni yopish 2026 yilgacha 10 mlrd yevroni iqtisod qilishga yo‘naltirilgan xarajatlarni kamaytirish dasturining bir qismi bo‘ladi. Kompaniya elektromobillarga o‘tishda jon saqlab qolish uchun xarajatlarni optimallashtirishga qaror qilgan."
O‘zbekiston,21:51,28 oktyabr yangiliklari: O‘zbekistonda ro‘y bergan muhim voqea va hodisalar,,"Parlament saylovlarining dastlabki natijalari, Allamjonov suiqasd qilgan gumondorlar, maktablarda kuzgi ta’til muddati — kun davomida Kun.uz’da yoritilgan O‘zbekiston yangiliklari bilan tanishtiramiz.Saylovning dastlabki natijalari27 oktyabr kungi Oliy Majlis Qonunchilik palatasi va xalq deputatlari kengashlari deputatlari saylovida ro‘yxatga olingan 19 mln 944 mingdan ortiq saylovchidan 15 mln 27 ming 529 nafari (yoki 74,72 foizi) ovoz berdi, degan MSK raisi Zayniddin Nizomxo‘jayev brifingda.Qonunchilik palatasi uchun Yagona saylov okrugi bo‘yicha O‘zbekiston liberal-demokratik partiyasi 34,75 foiz ovoz to‘plab (26 ta mandat) birinchi, «Milliy tiklanish» partiyasi 18,82 foiz bilan ikkinchi (14 mandat) bo‘ldi.Keyingi o‘rinlar Xalq demokratik partiyasi (17,11 foiz, 13 ta o‘rin), «Adolat» partiyasi (16,20 foiz, 12 ta) va Ekologiya partiyasi (13,12 foiz, 10 ta o‘rin) o‘rtasida taqsimlangan.Bir mandatli saylov okrugi bo‘yicha esa O‘zLiDeP 38 ta, «Milliy tiklanish» 15 ta, «Adolat» 9 ta, XDP 7 ta, Ekopartiya esa 6 ta o‘ringa ega bo‘lgan.Partiyalarning Qonunchilik palatasidagi mandatlarining umumiy soni quyidagicha bo‘ldi:Allamjonovga suiqasdBosh prokuratura matbuot xizmati Komil Allamjonovga uyushtirilgan qurolli hujum yuzasidan qo‘shimcha ma’lumot berdi. Idora buni «qotillikka suiqasd holati» deb baholagan.Avvalroq bitta gumondor ushlangani ma’lum qilingan edi. Endi jinoyatni sodir etishga aloqador bo‘lgan shaxslarning yana uch nafari ushlangani aytilmoqda.«Bosh prokuratura tomonidan Qibraydagi qotillikka suiqasd holati bilan bog‘liq jinoyat ishi yuzasidan tergov harakatlari olib borilmoqda.O‘tkazilgan tergov va tezkor qidiruv tadbirlari davomida ushbu jinoyatni sodir etishga aloqador bo‘lgan shaxslarning yana uch nafari aniqlanib, gumonlanuvchi tariqasida ushlandi», deyiladi xabarda.Bosh prokuratura 26 oktyabr kuni soat 1:40 atrofida Toshkent viloyatining Qibray tumanidagi Ifor ko‘chasida ikki noma’lum shaxs Prezident administratsiyasi sobiq xodimi Komil Allamjonovning Range Rover rusumli yo‘ltanlamas avtomobiliga o‘qotar quroldan bir necha marta o‘q uzib, voqea joyidan qochib ketgani haqida xabar bergan edi. Haydovchi va Allamjonov jabrlanmagan.Holat yuzasidan Jinoyat kodeksining 25, 97-moddasi (qasddan odam o‘ldirishga suiqasd qilish) bilan jinoyat ishi qo‘zg‘atilgan.27 oktyabr kuni ushbu jinoyatni sodir etishda gumonlanuvchilarning biri ushlangani xabar qilindi.Maktablarda kuzgi ta’til O‘zbekistonda maktab o‘quvchilari uchun chorakning so‘nggi kuni 2 noyabrga to‘g‘ri kelib, 4 noyabr kuzgi ta’tilning ilk kuni hisoblanadi. Bu haqda Maktabgacha va maktab ta’lim vazirligi xabar berdi.«Maktabgacha va maktab ta’lim vazirligi tizimidagi umumta’lim, ijod, ixtisoslashtirilgan maktablar o‘quvchilari uchun joriy o‘quv yilining kuzgi ta’tili 4 noyabrdan boshlanib, 10 noyabrgacha davom etadi», deyiladi xabarda.II chorak dars mashg‘ulotlari 2024 yil 11 noyabrdan boshlanadi.Vazirlar Mahkamasining 2017 yildagi 140-sonli qarori bilan tasdiqlangan nizomga muvofiq, o‘quvchilar uchun ta’til kunlari quyidagicha belgilangan: 1-sinf o‘quvchilari uchun esa fevral oyi davomida qo‘shimcha bir haftalik ta’til belgilanadi.Ehtiyojmandlar uchun kompensatsiyaO‘zbekistonda Kam ta’minlangan oilalarga elektr va gaz to‘lovlari uchun bir martalik kompensatsiya beriladi.Isitish mavsumida elektr energiyasi va gaz xarajatlarini qisman qoplash uchun qariyb 1,4 million oilaga 270 ming so‘mdan bir martalik kompensatsiya to‘lanadi. Bu mablag‘ bola puli va/yoki moddiy yordam oladigan oilalarning kartasiga 27 noyabrdan keyin tushirib beriladi.Bu haqda Ijtimoiy himoya milliy agentligi xabar bermoqda.Mazkur bu to‘lov gaz va elektr energiyasiga tariflar oshishi oqibatini yumshatishda yordam beradi. Ta’kidlanishicha, kompensatsiya bir yilda faqat bir marta to‘lanadi. Uning miqdori – 270 ming so‘m.Kompensatsiya oladiganlar ro‘yxatiga quyidagilar kiritiladi:"
Jahon,21:48,Qirg‘iziston qo‘shni davlatlarga qancha suv berayotganini e’lon qildi,2024 yilda O‘zbekiston Qirg‘izistondan 6 mlrd kub metr suv olgani ma’lum bo‘ldi.,"Qirg‘iziston Jo‘qorg‘u Kenesi (parlament) Agrar siyosat, suv resurslari, ekologiya va mintaqaviy rivojlanish masalalari qo‘mitasi yig‘ilishida suv xo‘jaligi, qishloq xo‘jaligi va qayta ishlash sanoati vazirining suv resurslarini nazorat qiluvchi o‘rinbosari Almazbek Sokeyev qo‘shni davlatlarga qancha suv berilayotganini aytdi.Unga ko‘ra, joriy yilda Qozog‘iston Chuy viloyatidan 138 million kub metr, Talas viloyatidagi Kirov suv omboridan 420 million kub metr suv olgan.«Shartnomaga ko‘ra, vegetatsiya davrida suvning 80 foizini o‘zimizga qoldiramiz, 20 foizini Qozog‘istonga beramiz. Boshqa paytlarda 58 foizi bizda qoladi, 42 foizi Qozog‘istonga ketadi», deb tushuntirdi Almazbek Sokeyev.Shu bilan birga, 2024 yilda O‘zbekiston 6 mlrd kub metr suv olgani ma’lum qilindi. Bundan tashqari, Tojikiston ham Qirg‘izistondan suv oladi.Vazir o‘rinbosarining so‘zlariga ko‘ra, mamlakatdagi umumiy suv oqimi 47 milliard kub metrni tashkil etadi, shundan 12 milliardi Qirg‘izistonda qoladi, qolgan qismi qo‘shni davlatlarga beriladi."
Jahon,21:35,Isroil Putinni Eron ballistik raketalarisiz qoldirdi,"Ekspertlarning ta’kidlashicha, Eronda yo‘q qilingan ishlab chiqarish tarmoqlarini qayta tiklash bo‘yicha o‘z texnologiyalari yo‘q, shu sababdan raketalarni ishlab chiqarish kamida bir yilga to‘xtab qolishi mumkin.","Isroil armiyasi tomonidan 26 oktyabr kuni Eron harbiy obektlariga uyushtirilgan hujum Rossiyani Ukrainadagi urushda foydalanayotgan qurollarsiz qoldirishi mumkin, deb xabar beradi The Moscow Times.Isroil Harbiy-havo kuchlarining 100 ga yaqin samolyotlari, jumladan, F-35 qiruvchilari ishtirok etgan hujumi natijasida Erondagi asosiy raketa sanoati zavodlari ishg‘ol etilgandi.Vaziyatdan xabardor manbalarning ta’kidlashicha, Isroil 2024 yilda Rossiya armiyasiga yetkazib berish boshlangan Eron ballistik raketalari uchun yonilg‘i ishlab chiqaruvchi 12 ta obektni ishdan chiqargan. AQSh va YeI ma’lumotlariga ko‘ra, yaqin masofaga mo‘ljallangan Fath-360 raketalarining ilk partiyasi Rossiyaga sentabrda yetkazib berilgan. Ukraina tomoniga ko‘ra, ularning bir qismi Volgograd oblastida joylashgan posyolkadagi raketa va artilleriya qurollari arsenalining o‘qqa tutilishi natijasida yo‘q qilingan.Eronda yo‘q qilingan ishlab chiqarish tarmoqlarini qayta tiklash bo‘yicha o‘z texnologiyalari yo‘q, shu sababdan raketalarni ishlab chiqarish kamida bir yilga to‘xtab qolishi mumkin. Bu esa Livandagi «Hizbulloh» guruhi, Yaman xusiylari va Rossiya armiyasi Eron raketalarisiz qolishini anglatadi. «Eron o‘z ishlab chiqarish quvvatini qayta tiklamaguncha, bir necha oy davomida Rossiyaga ballistik raketalarni yetkazib bera olmaydi», — deydi Yaqin Sharq bo‘yicha isroillik ekspert Anshel Pfeffer.Rossiya Erondan raketalardan tashqari «Shahed» dronlarini ham xarid qilardi, xorijdan sotib olinadigan umumiy xarajatlar, jumladan, Shimoliy Koreya snaryadlari ham hisobga olinganda har chorakda 120-150 milliard rublni tashkil etadi. Bu har chorakda 1 trillion rublni tashkil etadigan Rossiya hukumati mudofaa xaridlarini moliyalashtirishning taxminan 15 foizi demak.Isroil mudofaa kuchlari (TSAHAL) 26 oktyabrga o‘tar kechasi Erondagi harbiy obektlarga hujum uyushtirilgani haqida e’lon qildi. NBC News xabariga ko‘ra, Isroil nishonlari orasida Tehrondagi kazarma va qurol ombori bo‘lgan. Fars agentligi, o‘z navbatida, havo zarbalari nishoni Tehron janubi va janubi-g‘arbidagi harbiy bazalar bo‘lganini xabar qildi."
Jahon,21:20,Modi BRICS sammitida Rossiya va O‘zbekiston prezidentlariga rasm sovg‘a qildi,"Shuningdek, Eron prezidentini ham e’tibordan chetda qoldirmadi.","Hindiston bosh vaziri Narendra Modi Qozonda o‘tgan BRICS sammitida Rossiya prezidenti Vladimir Putinga «sohrai» texnikasidan foydalangan holda chizilgan rasm sovg‘a qildi, deb yozdi The Times of India.Qayd qilinishicha, rasm oq sopolga mo‘yqalam, tayoqcha, barmoq bilan chizilgan va murakkab naqshlardan iborat. Unda hayvonlar, qushlar va tabiat tasvirlanib, mahalliy qabila madaniyati doirasida agrar hayot tarzini va tabiatga chuqur ehtiromni ifodalaydi.Shuningdek, Modi boshqa davlatlar rahbarlarini ham e’tibordan qoldirmadi. Xususan, O‘zbekiston prezidenti Shavkat Mirziyoyevga an’anaviy «Varli» rasmini, Eron prezidenti Mas’ud Pizishkiyonga esa dengiz chig‘anoqlaridan yasalgan vaza sovg‘a qildi.Nashrning ta’kidlashicha, «Varli» san’ati Maxarashtraning Varli qabilasidan kelib chiqqan bo‘lib, 5 ming yillik tarixga ega. Asosiy geometrik shakllar yordamida chizilgan rasmlarda tabiat manzaralari, bayramlar va ijtimoiy tadbirlar orqali qabila hayoti tasvirlanadi.BRICS sammiti 22-24 oktyabr kunlari Rossiyaning Qozon shahrida bo‘lib o‘tdi. Unda 35 davlatdan delegatsiyalar qatnashdi, ulardan 23 tasiga yuqori mansabdor shaxslar, qolganlariga bosh vazirlar boshchilik qildi."
Jahon,21:13,Rossiyalik taksichilar Xitoy avtomobillari sifatidan ommaviy shikoyat qila boshladi,"Xitoy krossoveridan besh yil davomida foydalanish narxi yangi avtomobil narxidan oshib ketmoqda. Shu bilan birga, XXRda ishlab chiqarilgan mashinani ta’mirlash ham oson kechmayapti.","Rossiyalik taksi haydovchilari hozirda mamlakat taksoparkining 70-80 foizini egallab olgan Xitoy avtomobillari sifatidan shikoyat qilmoqda. XXR mashinalari 150 ming kilometr yurganidan keyin hisobdan chiqarilyapti, Yevropa va Koreya markalarida esa ushbu ko‘rsatkich 250—300 ming kilometrni tashkil etadi.Ularning so‘zlariga ko‘ra, transport vositalarining jiddiy ehtiyot qismlari ishdan chiqmoqda — asosan variatorlar va dvigatellar. «Taksiga taqdim etilgan modellar qatori deyarli bir xil. Baza — dvigatellar, uzatmalar qutisi — o‘xshash va bularning barchasi u qadar sifatli emas… Kafolatlar ishlamaydi, ehtiyot qismlarni topish mushkul», — deydi «Taksist» mintaqalararo kasaba uyushmasi vakili Andrey Popov. Uning qo‘shimcha qilishicha, Xitoy avtomobillari xarid qilingan narxiga arzimaydi.Sanoat axboroti milliy agentligi tahlilchilarining fikricha, Xitoy krossoveridan besh yil davomida foydalanish narxi yangi avtomobil narxidan oshib ketadi. Shu bilan birga, XXRda ishlab chiqarilgan avtomobilni ta’mirlash ham oson emas. 2024 yilning may oyida Rossiya avtomobil sug‘urtalari ittifoqi bir yil ichida transport vositalari ehtiyot qismlari importi muddati ikki barobarga oshgan va hozirda kamida 45 kunni tashkil etmoqda. Mamlakatdagi har to‘rtta avtoservisdan bittasi qalbaki ehtiyot qismlarni olishga majbur bo‘lyapti.«Xitoyliklar avtomobilni yig‘ish haqida o‘ylamoqda, ammo keyinroq, ularga xizmat ko‘rsatish qanday bo‘lishi borasida bosh qotirmayapti. Servis xizmat ko‘rsatish madaniyati endi-endi paydo bo‘lmoqda», — deydi «Yevroavto» servisi egasi Roman Gulyayev.Ukrainaga qarshi urush boshlaganidan keyin Rossiyadan deyarli barcha xalqaro avtomobil ishlab chiqaruvchilar chiqib ketdi — ular ishlab chiqarishni va yetkazib berishni to‘xtatdi. 2022 yil oxirlarida Rossiya avtomobil bozorida 14 ta brend qolgandi, ularning 11 tasi Xitoyga tegishli. Buning fonida Xitoy avtomobillari eksporti 2023 yil yakunlari bo‘yicha yetti barobarga oshib, 11,5 milliard dollarga yetdi."
