Category,Title,Full Text
 Sport,O‘zbekiston alamli tarzda Qatarga mag‘lub bo‘ldi,"Bugun, 14 noyabr kuni futbol bo‘yicha 2026 yilgi Jahon chempionatining saralashi Osiyo qit’asi 3-bosqich “A” guruhi 5-turi doirasida O‘zbekiston milliy terma jamoasi safarda Qatar bilan kuch sinashdi.O‘yinning birinchi taymi o‘zbekistonliklar uchun omadsiz boshlandi. Dastlab, o‘yinning 21-daqiqasida mehmonlar sardori Eldor Shomurodov jarohat oldi va o‘z o‘rnini Jaloliddin Masharipovga bo‘shatib berdi. Oradan 4 daqiqa o‘tib, mezbonlar vakili Almoyez Ali gol urib, jamoasini hisobda oldinga olib chiqdi. Qarama-qarshi kechgan hujumlardan so‘ng 41-daqiqada qatarliklar vakili Almoyez Ali yana gol urib, dubl qayd etdi. Ilk taym shu tariqa Qatar milliy terma jamoasining 2:0 hisobdagi ustunligi bilan yakunlandi.Ikkinchi bo‘limda o‘zbekistonliklarning shiddatli hujumlari boshlandi. Ketma-ket shunday harakatlardan so‘ng, o‘yinning 75-daqiqasida Abbosbek Fayzullayev boshi bilan qatarliklar darvozasini ishg‘ol qilib, hisobdagi farqni qisqartirdi. Oradan 5 daqiqa o‘tib, ikkinchi bo‘limning 25-daqiqasida Abbosbek Fayzullayev yana bir bor bosh bilan gol urib, hisobni tenglashtirdi. O‘yinning 112-daqiqasida Lukas Mendes gol urib,jamoasi g‘alabasini ta’minladi.Ma’lumot uchun, ushbu mag‘lubiyatdan so‘ng O‘zbekiston o‘z guruhida 10ochko jamg‘arib, 2-o‘rinda bormoqda."
 Olam,“Qonli urushni to‘xtating”. Kurskliklar Putinga murojaat bilan chiqdi ,"Rossiyaning Kursk viloyatidagi Olgovka qishlog‘i aholisi Prezident Vladimir Putinga evakuatsiyadan keyingi qiyinchiliklar haqida shikoyat qilib, undan urushni tugatishni so‘radi. Aholining murojaati “Govorit NeMoskva” Telegram-kanalida e’lon qilindi.“Uch oydan beri go‘yo do‘zaxdamiz, qayerga murojaat qilishni, najotni qayerdan topishni bilmaymiz... Farzandlarimiz tinch osmonni ko‘rishini, raketa xavfi signalini eshitmasligini istaymiz. Ushbu vaziyatni o‘rganib chiqing va chegaradosh hudud aholisi ovozini eshiting. Bu azobni o‘z ixtiyorimiz bilan tortayotganimiz yo‘q”, deydi ular.Ular, shuningdek, qishloqlar jangovar harakatlar oqibatida vayron bo‘lgani uchun uysiz qolganini, yashash joyini ijaraga olishga har kimning ham qurbi yetmayotganini va ko‘chirilgan odamlar ishga olinmayotganini ma’lum qilgan. Bundan tashqari, aholi ba’zi qo‘shnilari halok bo‘lgan yoki bedarak yo‘qolganini ta’kidlagan.“Kimdir (urushni) ikki-uch kun davom etadi deb o‘ylab qolib ketdi,” deyiladi murojaatda.Eslatib o‘tamiz, avvalroq Rossiya Prezidenti Vladimir Putin 2025 yil 20 yanvarda Donald Trampning AQSHning 47-prezidenti sifatida inauguratsiyasi oldidan bir qismi Ukraina Qurolli kuchlari tomonidan bosib olingan Kursk viloyatini Rossiya nazoratiga qaytarmoqchi ekani xabar qilingan edi."
 Olam,Ilon Mask Trampning atrofidagilarga yoqmayapti,"Milliarder Ilon Maskning saylovdan keyingi bir hafta davomida Donald Trampning Floridadagi Mar-a-Lago qarorgohiga deyarli har kuni tashrif buyurishi Trampning atrofidagilarni g‘ashini keltira boshlagan. Bu haqda NBC News xabar berdi.Manbalarga ko‘ra, Maskning tashrifi Trampga biznesmendan ko‘ra yaqinroq bo‘lgan odamlarning e’tiroziga sabab bo‘lgan. Ular Mask o‘z chegarasidan chiqib ketayotganini aytmoqda.“U o‘zini ham prezident sifatida tutyapti va hammaning bundan xabari borligiga ishonch hosil qilmoqchi. U o‘zini prezidentning g‘alabasiga katta hissa qo‘shgan deb hisoblayapti. America PAC (Mask Trampning saylovoldi kampaniyasini qo‘llab-quvvatlash uchun ochgan tashkiloti) va X ijtimoiy tarmog‘i bilan tinglashni xohlagan barchaning oldida maqtanmoqda. U Trampni o‘zining oldida qarzdor sifatida his qilishga majburlayapti. Prezident hech kimga, hech narsaga majbur emas”, deydi telekanal suhbatdoshlaridan biri.Nashrga ko‘ra, Mask Mar-a-Lagoga 5 noyabr kuni saylov natijalarini kuzatish uchun kelgan va keyingi haftaning asosiy qismini u yerda o‘tkazgan. Telekanal manbalarining ta’kidlashicha, milliarder qarorgohga kunning istalgan vaqtida tashrif buyurib, Trampning yonida o‘tirgan holda uning qo‘ng‘iroqlari va uchrashuvlariga qo‘shilmoqda.Trampning o‘zi Vakillar palatasidagi respublikachilar bilan uchrashuvda Mask haqida iliq fikr bildirgan. Bir safar u milliarder doim yonida ekani haqida ham to‘xtalib o‘tgan.“Ilon uyiga ketishni istamayapti. Men undan qutula olmayapman”, degan Tramp.Kongressmenlar bu shunchaki hazil sifatida aytilganini ta’kidlamoqda.Eslatib o‘tamiz, oldinroq AQSHning saylangan prezidenti Donald Tramp milliarder Ilon Mask Hukumat samaradorligi departamentiga rahbarlik qilishini ma’lum qilgandi.Muhammad Hodiyev"
 Olam,Biz hech qachon yadro quroli ishlab chiqishga intilmaganmiz – Pezeshkiyon,"Eron Prezidenti Mas’ud Pezeshkiyon Tehron hech qachon yadro qurolini ishlab chiqishga intilmasligini bildirdi. Bu haqda u Xalqaro atom energiyasi agentligi bosh direktori Rafael Grossi bilan uchrashuvda aytib o‘tdi.“Oliy rahbarning fatvosi asosida biz hech qachon va hech qanday yo‘l bilan yadro qurolini yaratishga harakat qilmadik va qilmaymiz, hech kimga bu siyosatdan chetga chiqishga ruxsat berilmaydi”, degan Prezident.Uning so‘zlariga ko‘ra, Eron har doim yadro dasturining tinch maqsadlar uchun ekanligini isbotlashga tayyor. U, shuningdek, agentlik bilan hamkorlik qilishga tayyor ekanligini va mamlakatlarning tinch yadro faoliyati bilan bog‘liq barcha shubhalarni o‘rinsiz ekanini eslatdi.“Biz o‘zaro hamkorlik qilish va yaqinlashishga doimo tayyormiz”, deya qo‘shimcha qildi Eron Prezidenti.Uning so‘zlariga ko‘ra, AQSH Eronning yadro dasturi bo‘yicha kelishuvlarni buzmoqda.“Xalqaro atom energiyasi agentligi hisobotlariga ko‘ra, biz o‘zimizning barcha majburiyatlarimizni bajarib kelmoqdamiz, ammo aynan AQSH 2018 yilda bu kelishuvdan bir tomonlama chiqib, bu jarayonning davom etishini cheklab qo‘ydi”, degan Pezeshkiyon.Ma’lumot uchun, 2003 yildan beri Eronning oliy diniy rahbari tomonidan yadro qurolini ishlab chiqarish taqiqlangan fatvo chiqarilgan. Eron siyosatchilari buni o‘zlarining milliy yadro dasturining tinchlik maqsadlari borligiga ishonch hosil qilish uchun asos sifatida keltiradi.Eslatib o‘tamiz, oldinroq Shanxay hamkorlik tashkiloti (SHHT) a’zolari barcha tomonlarni Eron yadroviy dasturi bo‘yicha qo‘shma keng qamrovli harakatlar rejasi qoidalarini amalga oshirishga qaytishga chaqirgandi.Muhammad Hodiyev"
 Jamiyat,SSV huzurida “Xaridlar markazi” tashkil etiladi,"Sog‘liqni saqlash vazirligi huzurida “Xaridlar markazi” va uning 13 ta hududiy filiali tashkil qilinadi. Bu haqda bugun, 14 noyabr kuni Prezident Shavkat Mirziyoyev tanishgan kasalliklarni erta aniqlash va samarali davolashga oid takliflar taqdimotida so‘z boradi.Qayd etilishicha, Sog‘liqni saqlash vazirligi huzurida “Xaridlar markazi” va uning 13 ta hududiy filiali tashkil qilinadi. Markazga 2025 yil 1 yanvardan boshlab, original dori vositalari va yopiq turdagi laborator uskunalar uchun sarflov vositalarini bevosita ishlab chiqaruvchidan to‘g‘ridan to‘g‘ri xarid qilishga ruxsat beriladi.O‘zbekiston ijtimoiy siyosatida sog‘liqni saqlash sohasi katta o‘rin egallaydi. So‘nggi yetti yilda bu tizimga ajratilayotgan mablag‘lar 6 karra oshirilgan. Oldin faqat Toshkentda bajarilgan 400 dan ortiq yuqori texnologik amaliyotlar bugun viloyat va tumanlarda ham o‘tkazilyapti.Kasalliklarni erta aniqlash maqsadida onkologiya, endokrinologiya, kardiologiya markazlari hududlarda skrining tekshiruvlari olib boryapti. Masalan, 1 million 700 ming nafar ayol skrining qilinib, 49 mingida saraton oldi kasalliklari topilgan. Bu yil yarim yillikda 122 ming nafar aholida yurak qon-tomir va qandli diabet erta bosqichda aniqlangan.Aholi salomatligini saqlash – uzluksiz jarayon. Sohadagi tahlil va talabdan kelib chiqib, muhim yo‘nalishlar bo‘yicha takliflar tayyorlangan. Taqdimotda shular haqida so‘z bordi.Ma’lumki, davolashdagi eng katta muammo – kasallikning kech yuzaga chiqishi. Shu bois Prezident tashabbusi bilan Qashqadaryoda, tajriba tariqasida, onkologiya bo‘yicha har bir erta aniqlangan holat uchun tibbiyot brigadalariga 2 million so‘mdan mukofot berish joriy qilindi. Natijada oilaviy shifokorlar o‘z mahallasidagi 51 nafar ayol va bolalarda shunday belgilarni aniqladi. Buning uchun 102 million so‘m mukofot puli berilib, kech bosqichda sarflanadigan 8 milliard so‘m mablag‘ tejalgan.Tahlillarga ko‘ra, jami onkologik kasalliklarning o‘rtacha 20-25 foizi ayollardagi ko‘krak bezi va bachadon saratoniga to‘g‘ri keladi. Shu bois bu borada skrininglarni kengaytirish va ularning reyestrini yuritish rejalashtirilmoqda.Shuningdek, gematologiya, kardiologiya, endokrinologiya kasalliklarini erta aniqlash va ularni davolash bo‘yicha uch yillik dasturlar bu yil yakuniga yetadi. Mutasaddilarga erishilgan natijalarni hisob-kitob qilib, ularning muddatini uzaytirish bo‘yicha ko‘rsatma berildi.Tibbiyot muassasalariga markazlashgan holda dorilar xarid qilishda ham kamchiliklar bor. Ba’zi shifoxonalarda talabga nisbatan kam olingan bo‘lsa, ba’zilarida dorilar ortib qolgan.Shu bois dori vositalari va tibbiy buyumlarni o‘n besh oylik talab asosida xarid qilish tizimi taklif etilmoqda. Bunda kelgusi yillar uchun ehtiyojlar 1 avgustdan kechikmasdan, Davlat byudjeti parametrlari bilan bir vaqtda shakllantiriladi.Yana bir taklifga ko‘ra, donorlarni qo‘llab-quvvatlash kengaytiriladi. Jumladan, “O‘zbekiston Respublikasi faxriy donori” ko‘krak nishonini olganlarga bir yo‘la beriladigan pul mukofoti bazaviy hisoblash miqdorining 5 baravaridan 15 baravarigacha oshiriladi. Ularga jamoat transportidan bepul foydalanish huquqi beriladi, davlat sihatgohlarida davolanish navbatsiz bo‘ladi.Ushbu yangi tizim kelgusi yil 1 yanvardan joriy qilinishi belgilandi.Mamlakatda sanitariya va fitosanitariya choralari bo‘yicha Jahon savdo tashkilotini xabardor qilish tartibini yo‘lga qo‘yish masalasi ham ko‘rib chiqildi."
 Olam,Isroil Damashqqa raketa hujumi uyushtirdi. Ayollar va bolalar halok bo‘ldi,"Isroil bugun, 14 noyabr kuni Suriya poytaxti Damashq shahriga raketa hujumi uyushtirdi. Oqibatda 15 nafar suriyalik, jumladan, ayollar va bolalar halok bo‘ldi. Bu haqda SANA xabar berdi.Qayd etilishicha, Isroilning Damashqning g‘arbiy hududlariga uyushtirgan raketa hujumi oqibatida kamida 15 nafar Suriya fuqarosi halok bo‘lgan, 16 kishi jarohatlangan. Mamlakat Qurolli kuchlari qo‘mondonligi vakiliga ko‘ra, halok bo‘lganlar orasida ayollar va bolalar ham bor.“Isroil mahalliy vaqt bilan 15:20 da Golan tepaliklari tomonidan tajovuzkor hujum uyushtirdi. Dushman raketalari poytaxtdagi Mezze prospektida va Damashq atrofidagi Qudsaya hududidagi bir qator turarjoy binolariga qarshi yo‘naltirildi va katta zarar yetkazdi”, deyiladi xabarda.“Sky News Arabia” telekanaliga ko‘ra, Isroil samolyotlari Damashqda “Islomiy jihod” shtab-kvartirasiga hujum qilgan va to‘rt kishi halok bo‘lgan. Bildirilishicha, Isroilning bu operatsiyasidan maqsad “Islomiy jihod” yetakchisini yo‘q qilish bo‘lgan.“Al Hadath” telekanalining xabar berishicha, raketalar Damashq-Bayrut eski yo‘li yaqinidagi Qudsaya atrofidagi hududga ham yo‘naltirilgan. Ushbu zarba ham “Islomiy jihod” harbiy bazasini nishonga olgani taxmin qilinmoqda.Eslatib o‘tamiz, avvalroq Isroil Livanda “Hizbulloh” harakatining raketa qudratini yo‘q qilish maqsadida quruqlik operatsiyasining ikkinchi bosqichini boshlagan edi."
 Olam,Litva hukumati iste’foga chiqdi,"Ingrida Shimonite boshchiligidagi Litva hukumati Prezident Gitanas Nauseda oldida iste’foga chiqdi. Bu haqda Prezident matbuot xizmati xabar berdi.Ushbu tartib qonun bilan belgilangan. Bugun, 14 noyabr kuni oktyabr oyida bo‘lib o‘tgan ovoz berishning ikki bosqichida yangi saylangan respublika Seymi (parlamenti) o‘z ishini boshladi. Shundan so‘ng Vazirlar Mahkamasi iste’foga chiqadi va davlat rahbari keyingi 15 kun ichida Bosh vazir lavozimiga nomzodni deputatlar tasdig‘iga taqdim etishi kerak.Prezident matbuot xizmati xabariga ko‘ra, Prezident hukumatga yangi Bosh vazir tayinlangunga qadar va Vazirlar Mahkamasi shakllanguncha hozirgi hukumat o‘z vazifalarini bajarishda davom etishni topshirgan.Saylovda g‘alaba qozongan Litva Sotsial-demokratik partiyasi Bosh vazir lavozimga o‘z raisi o‘rinbosari, kompyuter tizimlari bo‘yicha 45 yoshli mutaxassis Gintautas Palutskasni topshirdi. U partiya raisi Viliya Blinkevichutening Bosh vazir lavozimiga nomzodini qo‘ymaslik, balki Yevropa parlamenti deputati bo‘lib qolishi haqidagi qaroridan so‘ng ko‘rsatilgan.Ma’lumot uchun, Prezident Gitanas Nauseda va Bosh vazir Ingrida Shimonite joriy yil may oyida bo‘lib o‘tgan prezidentlik saylovida kurashgan. Ikki bosqichda davom etgan saylovlarda amaldagi Prezident g‘alaba qozonib, lavozimiga qayta saylangan.Eslatib o‘tamiz, Litvada 27 oktyabr kuni bo‘lib o‘tgan parlament saylovlarining ikkinchi bosqichida muxolifatdagi Litva sotsial-demokratik partiyasi (LSDP) ko‘pchilik ovozlarni olgandi. Sotsial-demokratlar ikki tur natijalariga ko‘ra, parlamentdagi 141 o‘rindan 52 o‘ringa egalik qiladi. Hukmron “Vatan ittifoqi – Litva xristian-demokratlari” konservativ partiyasi – 28 o‘rinni, “Zarya Nemunas” partiyasi – 20 o‘rinni, “Litva uchun” demokratik ittifoqi – 14 o‘rinni oladi. Litva dehqonlari ittifoqi – sakkiz mandatga egalik qiladigan bo‘ldi."
 Olam,Yevroparlament Ukraina bo‘yicha favqulodda yig‘ilish o‘tkazadi,"Yevropa parlamenti Ukrainaga yordamni davom ettirish uchun 19 noyabr kuni navbatdan tashqari favqulodda yig‘ilish o‘tkazadi. Bu haqda Bryusseldagi yalpi majlisda Yevroparlament spikeri Roberta Metsola ma’lum qildi.Spiker Ukraina Prezidenti ham ushbu yig‘ilishda ishtirok etib, nutq so‘zlashini ta’kidlagan.“19 noyabr soat 11:00 da navbatdan tashqari favqulodda yig‘ilish o‘tkazamiz. Ukraina Prezidenti Vladimir Zelenskiy ham bizga qo‘shiladi”, degan u.Shuningdek, Yevropa ittifoqi vakillari respublikachi Donald Tramp AQSH prezidentlik saylovlarida g‘alaba qozongach, u Kiyevni qo‘llab-quvvatlashni to‘xtatishidan cho‘chimoqda.Eslatib o‘tamiz, oldinroq Ukraina Prezidenti Vladimir Zelenskiy Oliy Radaga “g‘alaba rejasi”ni taqdim etgandi. Mazkur reja besh banddan iborat. Shuningdek, u uchta maxfiy qoidani o‘z ichiga oladi.Muhammad Hodiyev"
 Olam,Moskva viloyatida ham migrantlar uchun patent narxi oshirildi,"2025 yildan boshlab Rossiyaning Moskva viloyatida migrantlar uchun patent narxi 8,9 ming rublgacha oshirilmoqda. Shu orqali viloyat byudjetiga qo‘shimcha ravishda 2,9 milliard rublga yaqin mablag‘ jalb qilinadi. Bu haqda Moskva viloyati Dumasi raisi Igor Brinsalovga tayanib, TASS xabar berdi.“Biz chet el fuqarolariga patentni hisoblash uchun mintaqaviy koeffitsiyentni belgilaydigan qonunni qabul qildik. Bu yil Moskva viloyatida patentning narxi 7500 rublni tashkil qilmoqda. Bir necha yildirki, Moskva shahri va Moskva viloyatida patent narxi bir xil darajada belgilangan”, dedi u.Shuningdek, u 2025 yil 1 yanvardan boshlab Moskva viloyatida chet ellik ishchilarni alkogol va tamaki mahsulotlari savdosi, ko‘cha ovqatlari, ijtimoiy xizmatlar, sport, madaniyat, dam olish, sog‘liqni saqlash va ta’lim sohalarida patent asosida ishga jalb qilish taqiqlanishini eslatdi.Eslatib o‘tamiz, Moskva meri Sergey Sobyanin shaharda xorijlik migrantlar uchun patent narxi qariyb 20 foizga oshib, 2025 yilda uning narxi 8,9 ming rublni tashkil qilishini ma’lum qilgandi."
 Olam,Ukraina xavfsizlikni hududlardan ustun qo‘yadi – NYT ,"Donald Tramp AQSH prezidentlik saylovlarida g‘alaba qozonganidan so‘ng, ehtimoliy tinchlik muzokaralari chog‘ida Ukraina uchun xavfsizlik kafolatlari masalasi Rossiya tomonidan bosib olingan hududlarni qaytarishdan ko‘ra muhimroq bo‘ladi. Bu haqda kecha, 13 noyabr kuni Ukrainaning ikki yuqori martabali mulozimiga tayangan holda “The New York Times” xabar berdi.Nashr suhbatdoshlariga ko‘ra, Ukrainaning hududiy chegaralari katta ehtimol bilan jangovar harakatlar natijasida aniqlanadi va ehtimoliy muzokaralarda mamlakat manfaatlarini himoya qilish o‘t ochishni to‘xtatish kelishuvi ishonchli bo‘lishini ta’minlash uchun qanday kafolatlar taqdim etilishiga bog‘liq bo‘ladi.“Hududiy masala nihoyatda muhim, ammo u hamon ikkinchi masala. Birinchi masala – xavfsizlik kafolatlari”, deydi ismini oshkor etmagan yuqori martabali ukrainalik amaldor.Oliy Radaning Milliy xavfsizlik, mudofaa va razvedka qo‘mitasi kotibi Roman Kostenko ham gazetaga ehtimoliy muzokaralar “kafolatlarga asoslangan bo‘lishi kerakligini” aytdi.""Ukraina uchun muhimroq narsa yo‘q"", dedi u.Kostenkoning qo‘shimcha qilishicha, Kiyev Rossiya ishg‘oli ostidagi hech bir hududga da’vosidan rasman voz kechmaydi.“Shuningdek, Kiyev uchun o‘rnatilgan o‘t ochishni to‘xtatish liniyasi mamlakatning iqtisodiy tiklanishiga to‘sqinlik qilmasligi ham muhim – masalan, sanoat hududlarini sarmoya uchun xavfli qilib qo‘yish. Demilitarizatsiya zonasining kengligi – ikki armiya o‘rtasidagi bufer zonasi ham muhim bo‘ladi”, dedi ismini oshkor etmagan ukrainalik amaldor.Nashrning qayd etishicha, Ukraina rasmiylari avvalroq uzoq vaqt davomida Rossiya tomonidan bosib olingan hududni urushni tinch yo‘l bilan hal qilishning hech qanday varianti bo‘yicha bermasliklarini aytib kelgan. Biroq muzokaralar uchun tezlashtirilgan jadvalni ilgari surgan AQSH prezidenti Donald Tramp saylanganidan so‘ng, Kiyev xavfsizlik kafolatlarini hech bo‘lmaganda o‘t ochishni to‘xtatish chizig‘i qayerda bo‘lishi kabi muhim ahamiyat kasb eta boshladi.Eslatib o‘tamiz, Pentagon Rossiya Federatsiyasiga qarshi mudofaa urushini olib borayotgan Ukrainaga harbiy yordam ko‘rsatish uchun mo‘ljallangan jami 9,3 milliard dollar qolganini ma’lum qilgandi. AQSH Prezidenti Jo Bayden esa saylangan prezident Donald Tramp bilan Oq uydagi uchrashuvida Ukrainani Rossiya Federatsiyasiga qarshi mudofaa urushida keyingi qo‘llab-quvvatlash AQSHning milliy manfaatlariga javob berishini ta’kidlagandi."
