Category,Title,Description,Full Text
Dunyoda,Qirg‘iziston Respublikasi korrupsionerlarga umrbod davlat lavozimlarida ishlashni taqiqlashni taklif qildi,,Qirg‘iziston Jogorku Keneshiga korrupsiya jinoyati uchun sudlangan shaxslarning davlat rahbarlik lavozimlarini egallashini umrbod taqiqlashni nazarda tutuvchi qonun loyihasi kiritildi. Bu haqda “24.kg”
Dunyoda,Raqobat qo‘mitasi yirik savdo tarmoqlariga narxlarni nazorat qilib borishni topshirdi,,"Raqobat qo‘mitasi savdo tarmoqlari vakillari bilan Yangi yil bayrami arafasida oziq-ovqat mahsulotlari narxlari barqarorligini taʼminlash yuzasidan uchrashuv o‘tkazdi. Qo‘mita o‘z vakolatlari doirasida ichki bozorda isteʼmol tovarlarining narxlarini tahlil qilish hamda savdo faoliyatida raqobatni taʼminlash yuzasidan respublikamizning 8 ta yirik chakana savdo tarmoqlari vakillari bilan amaliy uchrashuv bo‘lib o‘tdi.Uchrashuvda ijtimoiy ahamiyatga ega oziq-ovqat mahsulotlarni narxlariga taʼsir etuvchi omillarni aniqlash va ularni barqarorlashtirish choralari bo‘yicha masalalar, shuningdek, chakana savdo tarmoqlarida asosiy oziq-ovqat mahsulotlari savdosi bilan bog‘liq tizimli muammolar muhokama qilindi.Shuningdek, Raqobat qo‘mitasi tomonidan Yangi yil bayrami arafasida keskin talab oshadigan ijtimoiy muhim oziq-ovqat mahsulotlari narxlari barqarorligini taʼminlash bo‘yicha chakana savdo tarmoqlariga (“Korzinka”, “Makro”, “Havas”, “Baraka”, “Magnum”, “Assorti”, “B1” va “Magnit”) yetkazib beruvchi korxonalar tomonidan narxlarni o‘zgartirishi, logistika xarajatlari va boshqa narxning oshishiga olib kelishi mumkin bo‘lgan omillar to‘g‘risida Qo‘mitani tezkor xabardor qilib borish, hamda yetkazib beruvchilarni asossiz narxlarni oshirishga yo‘l qo‘ymaslik yuzasidan ogohlantirib borishlari bo‘yicha ko‘rsatmalar yuborildi."
Dunyoda,Dunyoda birinchi marta urib turgan yurak ko‘chirib o‘tkazildi,,"Italiyaning Paduya shahrida dunyoda birinchi marta urib turgan yurak ko‘chirib o‘tkazildi.Shahar shifoxona-universitet boshqarmasi ushbu amaliyotni inqilob, deya ta’rifladi. Bunday amaliyot shifokorlarga yurak transplantatsiyasi natijalarini yaxshilash hamda nazorat ostidagi organ to‘xtab qolishining oldini olish imkonini beradi.«Shu tariqa yurakni joyidan olish va ko‘chirib o‘tkazish jarayonida ishemik va reperfuzion shikastlanishlarga barham beriladi, yurak funksiyalarining operatsiyadan so‘ng tez tiklanishi ta’minlanadi», — deyiladi xabarda.Paduya shifoxona-universitet boshqarmasi ma’lumotiga ko‘ra, bemor ayni paytda o‘zini yaxshi his etmoqda. Unga tez orada uyiga ketishiga ruxsat beriladi."
Dunyoda,The Telegraph: Saudiya Arabistoni Ukrainadagi urushni tugatishi mumkin,,"Saudiya Arabistoni Ukrainadagi urushni tugatishi mumkin, prezident Vladimir Putin rejimining qulashi esa o‘ylagandan ko‘ra yaqinroq. Bu haqda The Telegraph xabar bermoqda.Xabarga ko‘ra, Rossiyadagi iqtisodiy vaziyat tobora Germaniyaning Birinchi jahon urushi oxiridagi holatiga o‘xshab bormoqda — haddan tashqari qizigan iqtisodiyot, tugab borayotgan resurslar va malakali ishchi kuchi yetishmovchiligi. Rossiya harbiy kuchlari xuddi 1917-yildagi nemis qo‘shinlari kabi uch yillik sanksiyalar bosimidan so‘ng doimiy ravishda kadrlar va uskunalar tanqisligidan aziyat chekmoqda. Bunga ta’sir qiluvchi quyidagi omillar ham mavjud.Suriyadagi geosiyosiy mag‘lubiyatBashar Asad rejimining qulashi Rossiyaning Yaqin Sharqdagi pozitsiyalariga strategik zarba bo‘ldi. Moskva mintaqadagi asosiy ittifoqchisini qutqara olmadi, bu esa Vladimir Putinga bo‘lgan ishonchni susaytirdi. Damashqning qo‘ldan ketishi Rossiyaning Tartus va Xmeymimdagi harbiy bazalarini xavf ostiga qo‘ydi.Turkiya vaziyatdan tezda foydalandi. Anqara mintaqani nazorat qiladi va Suriyadagi rus generallarining taqdiri endi Turkiya rahbariyatiga bog‘liq. Agar Putinga Tartusdagi harbiy-dengiz bazasini saqlab qolish nasib qilsa ham, bu Turkiya shartlari asosida amalga oshadi.Iqtisodiy izolyatsiyaRossiya iqtisodiyoti kapital va inson resurslarining keng ko‘lamli chiqib ketishini boshdan kechirmoqda. Urush boshlanganidan buyon 800 mingga yaqin yosh va malakali rossiyaliklar mamlakatni tark etdi. Harbiy xarajatlar yalpi ichki mahsulotning 10 foizigacha yetmoqda, uglevodorodlar eksportidan keladigan daromadlar esa pasaymoqda. 2022-yil o‘rtalarida neft va gaz savdosidan olingan kunlik daromad 1,2 milliard dollarni tashkil etgandi. Bugungi kunda bu ko‘rsatkich 600 million dollargacha tushib ketdi.Kreml Milliy farovonlik jamg‘armasidan mablag‘ olishga majbur bo‘lmoqda, u 16 yil ichidagi eng past ko‘rsatkich — 54 milliard dollargacha qisqardi. Mamlakatning oltin zaxirasi ham so‘nggi 15 oy ichida 554 tonnadan 279 tonnagacha kamaydi. Jamg‘armada likvid aktivlar deyarli qolmadi.G‘arbning moliyaviy zarbalariAQSH uch hafta oldin “Gazprombank” va Rossiyaning 50 dan ortiq moliyaviy muassasasiga qarshi sanksiyalar joriy etib, iqtisodiy bosimni kuchaytirdi. Bu choralar xalqaro pul o‘tkazmalarini va energiya resurslari savdosini qiyinlashtirib, rubl kursiga ta’sir qildi.Saudiya Arabistoni Rossiya iqtisodiyotiga qo‘shimcha zarba berishi mumkin. Iqtisodiy mutaxassislar prognoziga ko‘ra, Ar-Riyod yo‘qotilgan mavqeini qaytarish uchun jahon bozorini yana arzon neft bilan to‘ldirib yuborishi ehtimoli bor. Agar neft narxi bir barrel uchun 40 dollardan pastlasa, Rossiya moliya tizimi izdan chiqib, qulashi mumkin.Saudiyaga qaramlikTahlilchilar ta’kidlashicha, Rossiyadagi bugungi vaziyat Sovet ittifoqining so‘nggi oylarini tobora ko‘proq eslatmoqda. Tashqi ko‘rinishdan Putin rejimi hozircha barqaror turganday, ammo uning zaiflashuv alomatlari ko‘zga tashlanmoqda. Tizimni izdan chiqarish uchun birgina jiddiy geosiyosiy yoki iqtisodiy turtki kifoya bo‘ladi.The Telegraph Rossiya-Ukraina mojarosi tarixidagi keyingi bob Ar-Riyodda yozilishi mumkinligi, Putin rejimining kelajak taqdiri aynan Saudiya Arabistonining qarorlariga bog‘liq ekanini xulosa qildi."
Dunyoda,Milliy turizm yagona platformasi ishga tushirilmoqda,,"Vazirlar Mahkamasining ""Turizm sohasini raqamlashtirish va turistik xizmatlarni yagona platformaga birlashtirish chora-tadbirlari to‘g‘risida""gi qarori qabul qilindi.Milliy turizm yagona platformasi ishga tushirilmoqda. 2025 yil 1 sentyabrdan boshlab sinov tariqasida ishga tushirilayotgan platforma quyidagilarni amalga oshirish imkonini beradi:- sayyohlarga joylashtirish vositalarini onlayn band qilish va sayyohlar tomonidan baholash;- respublikadagi turoperatorlar va turagentlar xizmatlari, shu jumladan, sayyoxlarga gid, gid-tarjimon, yo‘riqchi-yo‘l boshlovchi, ekskursiya yetakchilari xizmatlaridan foydalanish;- yo‘nalishsiz taksi va avtotransport vositalari ijarasi xizmatlaridan foydalanish;- avtobus, avia va temir yo‘l chiptalari, madaniy meros obyektlari, muzeylar va boshqa diqqatga sazovor joylarga kirish chiptalarini xarid qilish;- xalqaro va milliy to‘lov tizimlari orqali turistik xizmatlar uchun to‘lovlarni amalga oshirish;- turizm sohasiga oid statistik hisobotlarni yuritish va real vaqt rejimida tahlil qilish."
Dunyoda,Yangi yil arafasida Toshkentda maxsus arzonlashtirilgan narxlardagi savdo yarmarkalari tashkil etildi,,Yangi yil arafasida Toshkentda maxsus arzonlashtirilgan narxlardagi savdo yarmarkalari tashkil etildi.Savdo yarmarkalari quyidagi bozorlarda o‘tkazilmoqda:«Aviasozlar dehqon bozori» AJ – Yashnobod«Askiya dehqon bozori» AJ – Yakkasaroy«Chilonzor dehqon bozori» MCHJ – Chilonzor«Mirobod dehqon bozori» AJ – Mirobod«Navro‘z dehqon bozori» AJ – Mirzo Ulug‘bek«Oloy dehqon bozori» AJ – Yunusobod«Sergeli dehqon bozori» AJ – Sergeli«Farxod dehqon bozori» AJ – Uchtepa«Eski Juva dehqon bozori» AJ – Shayxontohur«Yunusobod dehqon bozori» AJ – Yunusobod«Quylik dehqon bozori» AJ – Bektemir«Qora qamish dehqon bozori» MCHJ – Olmazor. 
Dunyoda,Germaniya Suriyani qo‘llab-quvvatlash shartlarini e’lon qildi,,"Germaniya tashqi ishlar vaziri Annalena Berbok 11 dekabr, chorshanba kuni Bashar Asad rejimi ag‘darilganidan keyin Suriyani qo‘llab-quvvatlash rejasini taqdim etdi. U Berlin Damashqqa yordam berish uchun ilgari suradigan sakkiz band va shartdan iborat.Berbok hokimiyatning tinch yo‘l bilan o‘tkazilishini birinchi va eng muhim nuqta deb atadi. «Barcha partiyalar tomonidan qabul qilingan fuqarolik hukumati faqat barcha ozchiliklar va siyosiy guruhlar stol atrofida jam bo‘lsa, muvaffaqiyatli bo‘ladi», dedi u.Chet el aralashuvisiz Suriya ichidagi muloqotIkkinchi o‘rinda - Suriya ichidagi muloqot. Germaniya Tashqi ishlar vazirligi rahbarining so‘zlariga ko‘ra, u BMT rezolyutsiyalari va «joylardagi voqeliklar»ga muvofiq chet el aralashuvisiz, masalan, Turkiya yoki Isroil aralashuvisiz o‘tishi kerak. «Suriya yana xorijiy davlatlar o‘yinida piyodaga aylanmasligi kerak», dedi Berbok.Uchinchisi, «Hay’at Tahrir ash-Shom» (Hsh) a’zolari tomonidan ayollar, etnik va diniy ozchiliklar huquqlarini hurmat qilish. Berbokning aytishicha, Germaniya guruh bilan «hali to‘g‘ridan to‘g‘ri aloqaga ega emas», ammo Berlin uning «Al-Qoida» bilan aloqasi borligini biladi. «Biz Hshni uning harakatlariga qarab baholaymiz», dedi vazir.U, shuningdek, insonparvarlik inqirozini imkon qadar tezroq ortda qoldirib, Suriyani qayta tiklashni boshlashga chaqirdi. Berbok siyosiy inqiroz fonida mamlakatda yuqori inflatsiya haqida ma’lum qildi, shuning uchun asosiy oziq-ovqat mahsulotlari qimmatlashmoqda. Misol uchun, non narxi bir necha kun ichida 900 foizga oshdi. Vazir Germaniyadan 8 million yevrolik shoshilinch yordam va’da qildi.Suriyaliklarni vataniga qaytarish mojarosi: Shols vazminlikka chaqirdiGermaniya kansleri Olaf Shols suriyaliklarning Germaniyadan vataniga qaytarilishi haqidagi munozaralarda vazminlikka chaqirdi. «Endi bizning vazifamiz u yerda xavfsiz muhit yaratish imkoniyatini qo‘ldan boy bermaslik, demokratiyani dunyoga keltirish va turli dinlarga mansub odamlar normal birga yashashini ta’minlashdir», dedi Shols 10 dekabr kuni ARD telekanalida Suriyadagi vaziyat haqida.«Ehtimol, agar hamma narsa yaxshi kechsa, ko‘pchilikning o‘zi endi o‘z mamlakatini qayta tiklashda ishtirok etishni xohlashini aytishadi», deb tushuntirdi Germaniya kansleri Bashar Asad rejimi qulaganidan keyin suriyalik qochqinlarning o‘z vatanlariga qaytishi haqidagi munozaralarni sharhlar ekan. Biroq, ayni damda Suriyadagi vaziyat «juda va juda xavfli» bo‘lib qolmoqda, deya eslatdi u."
Dunyoda,Ota-onalardan darsliklar ijarasi uchun qo‘shimcha to‘lov undirish rejalashtirilmagan — Iqtisodiyot va moliya vazirligi,,"2025–2027-yillarga mo‘ljallangan Fiskal strategiya asosida ishlab chiqilgan Budjetnoma loyihasida 2025–2026-o‘quv yilidan 2–11-sinflarda bir to‘plam darslik va mashq daftarlari uchun ijara to‘lovi undirish tizimini joriy etish yuzasidan tegishli takliflar taqdim etilgan edi.Budjet jarayonlarini shakllantirishda vazirlik tomonidan, birinchi navbatda, iqtisodiy o‘sishning barqaror yuqori sur’atlari hamda iqtisodiy va ijtimoiy sohaning moliyaviy mutanosibligini ta’minlashda davlatning ijtimoiy majburiyatlarini to‘liq hamda o‘z vaqtida bajarishga ustuvor e’tibor qaratiladi. Bunda, samaradorlikni oshirish maqsadida turli yo‘nalishlar bo‘yicha tahlillar o‘tkaziladi.Ta’kidlash lozimki, 2024-yilda maktab o‘quvchilari uchun 83,2 mln nusxa darslik va mashq daftarlarini yetkazib berish uchun Davlat budjetidan jami 1,5 trln so‘m ajratilgan. Ushbu mablag‘lardan 435,5 mlrd so‘mi (yoki 36 foizi) davriyligi 1-yil hisoblanadigan hamda har yili yangidan chop etiladigan mashq daftarlari uchun yo‘naltirilgan.2025-yilda esa 81 mln nusxa darsliklar va mashq daftarlari uchun jami 1,3 trln so‘m mablag‘larni to‘liq Davlat budjetidan qoplash ko‘zda tutilgan.Shu bilan birga, ijtimoiy tarmoqlardagi faol foydalanuvchilar tomonidan chop etilgan postlarda Budjet loyihasida Kitob jamg‘armasi xarajat va daromadlari ko‘rsatilmaganiga e’tibor qaratilgan. Qayd etish joizki, Kitob jamg‘armasi faoliyati to‘xtatilgan va yangi jamg‘arma tashkil qilinmagani sababli loyihada bu bo‘yicha ma’lumotlar aks ettirilmagan.2025-yil uchun Davlat budjeti doirasida ko‘zda tutilgan mablag‘lar yangi o‘quv yilida o‘quvchilarni darsliklar va mashq daftarlari bilan ta’minlash bo‘yicha ehtiyojni to‘liq qoplash imkonini beradi.Bunda, ota-onalardan darsliklar va mashq daftarlari ijarasi uchun qo‘shimcha to‘lov undirish rejalashtirilmagan."
Dunyoda,Qatar shahzodasi Xalifa ibn Hamad Ol Soniy uylanishini e’lon qildi,,"Dunyodagi eng ko‘zga ko‘ringan Qatar hukmron oilasining vakili shayx Xalifa ibn Hamad Ol Soniy uylanishini ma’lum qildi. Bu haqda Emirates Women xabar berdi.Qatar ichki ishlar vaziri lavozimida faoliyat yuritayotgan shayx Xalifa Janubiy Kaliforniya universitetida jamoatchilik diplomatiyasi bo‘yicha magistrlik darajasini olgan. U dunyodagi eng yosh vazirlardan biri hisoblanadi.Uning onasi o‘zining go‘zalligi va ayollar huquqlari uchun kurashi bilan dunyoga tanilgan afsonaviy shayxa Moza bintu Nosir, otasi esa Qatarning sobiq amiridir.Shahzodaning rafiqasi — Al Vakrah futbol klubi menejerining qizi shayxa Fotima bintu Nosir ibn Hasan Ol Soniy bo‘lib, shaxsiy hayotini yashirin tutishni ma’qul ko‘radi.Qirollik to‘yi ulkan miqyosdagi tadbirga aylanadi, unga butun dunyodan yuqori martabali shaxslar va qirollik oilalarining a’zolari tashrif buyuradi. Hashamatli ziyofat 6-dekabr kuni Al-Vajba saroyida bo‘lib o‘tadi, 7-dekabr kuni esa erkaklar uchun marosim o‘tkazilishi rejalashtirilgan."
Dunyoda,Ogʻir atletika: Sarvarbek Zafarjonov jahon chempionatida bronza medaliga sazovor boʻldi,,"Ogʻir atletika boʻyicha Oʻzbekiston terma jamoasi aʼzosi Sarvarbek Zafarjonov Bahraynda oʻtayotgan jahon chempionatida terma jamoamiz hisobiga yana bir medalni taqdim qildi. -89 kg vazn toifasining “A” guruhida qatnashgan polvonimiz bronza medaliga sazovor boʻldi.Sarvarbek dast koʻtarish mashqida 171 kg natija qayd etib, uchinchi oʻrinni egalladi. Biroq siltab koʻtarishda 204 kg bilan oltinchi, yakunda 375 kg bilan toʻrtinchi pogʻonadan joy oldi. Hamyurtlarimizning keyingi ishtiroki 14-dekabr sanasiga toʻgʻri keladi. Unda Ruslan Nurudinov, Sharofiddin Amriddinov hamda Tursunoy Jabborova medallar uchun kurash olib borishadi."
