Category,Title,Description,Full Text
O‘zbekiston va YeOII,YeOII mamlakatlarida o‘yinchoq mahsulotlarini sotish bo‘yicha yangi tartib kuchga kirdi,"""O‘yinchoqlar xavfsizligi to‘g‘risida""gi yangilangan texnik reglament 26-noyabrdan kuchga kiradi.","Bugundan Yevroosiyo iqtisodiy ittifoqining (YeOII) “O‘yinchoqlar xavfsizligi to‘g‘risida”gi texnik reglamentiga (TR TS 008/2011) kiritilgan o‘zgartirishlar kuchga kirmoqda, deya xabar berdi YeIK matbuot xizmati.O‘zgartirishlar texnik reglamentlarni qo‘llash doirasini aniqlab beradi. Xususan, o‘yinchoq bo‘lmagan mahsulot turlari aniq belgilangan. Masalan, esdalik sovg‘alari, kompyuter o‘yinlari, o‘simliklar yetishtirish uchun to‘plamlar va boshqa bir qator tovarlar.Shuningdek, texnik reglamentlar uni qo‘llashda zarurat tug‘ilgan tushunchalar bilan to‘ldirildi. Ular orasida ""uyda foydalanish uchun batut"", ""faol dam olish uchun o‘yinchoq"", ""o‘yinchoqning tijorat nomi"", ""uchar o‘yinchoq"", ""ovozli o‘yinchoq"", ""elektromexanik o‘yinchoq"" va boshqalar.Kimoviy o‘yinchoqlar va kimoviy moddalarni o‘z ichiga olgan va kimoviy tajriba to‘plamlari bilan bog‘liq bo‘lmagan o‘yin to‘plamlarida kimoviy moddalar yoki reagentlar tarkibiga qo‘yiladigan talablar belgilangan.“O‘yinchoqlarning gigiyenik xavfsizligiga qo‘yiladigan talablar, xavf-xatarlar to‘g‘risida ogohlantiruvchi ma’lumotlarga qo‘yiladigan talablar, eng katta xavf tug‘diruvchi o‘yinchoqlardan xavfsiz foydalanish bo‘yicha ko‘riladigan choralar ko‘rildi. YeIK hay’atining 2024-yil 6-avgustdagi 91-sonli qarori yangi talablarga bosqichma-bosqich o‘tishni nazarda tutuvchi o‘zgartirishlar kiritish tartibini belgilab berdi. Shunday qilib, 2024-yil 26-noyabrgacha berilgan o‘yinchoqlar uchun sertifikatlar amal qilish muddati tugagunga qadar amal qiladi”, — deyiladi xabarda.Shu bilan birga, o‘yinchoqlarni ishlab chiqarish va YeOII bozorida muomalaga chiqarishga, bunday sertifikatlar mavjud bo‘lganda, ularning amal qilish muddati tugagunga qadar va YeOII bozorida muomalada bo‘lganda –  o‘yinchoqlarning xizmat qilish muddati yoki yaroqlilik muddati davomida ruxsat etiladi."
Iqtisod,O‘zbekiston va Rossiya elektron qurilmalar ishlab chiqararishga mo‘ljallangan qo‘shma korxona ochdi,"Korxona tog‘-kon sanoati, neft-gaz majmuasi va qishloq xo‘jaligi sanoati korxonalari tomonidan foydalanishga topshiriladigan datchiklar ishlab chiqarish bilan shug‘ullanadi.","Toshkentda elektron qurilmalar ishlab chiqararishga mo‘ljallangan Rossiya-O‘zbekiston qo‘shma korxonasi ochildi, deya xabar berdi Rossiyaning O‘zbekistondagi Savdo vakolatxonasi.Toshkentda Rossiyaning “Domalogika” MChJ kompaniyasi va O‘zbekistonning “Energopribor” MChJ kompaniyasi o‘rtasida elektron qurilmalar ishlab chiqarishga mo‘ljallangan “DLKIP Electronics” qo‘shma korxonasining ochilish marosimi bo‘lib o‘tdi.Tadbir Rossiyaning O‘zbekistondagi Savdo vakolatxonasi, Dog‘iston Sanoat va savdo vazirligi, Rossiya hududi eksportini qo‘llab-quvvatlash markazi hamda Toshkent shahar hokimligi xodimlari ishtirokida o‘tkazildi.Rossiyaning O‘zbekistondagi savdo vakili o‘rinbosari Igor Kaminin o‘z nutqida ikki davlat korxonalari o‘rtasida sanoat kooperatsiyasini rivojlantirish muhimligini ta’kidlab, Dog‘iston va O‘zbekiston o‘rtasidagi iqtisodiy aloqalar yuksak darajada ekanini qayd etdi.Yaratilayotgan korxona O‘zbekistonning ishlab chiqarish va tog‘-kon sanoati, neft-gaz majmuasi va qishloq xo‘jaligi sanoati korxonalari tomonidan foydalanishga topshiriladigan datchiklar ishlab chiqarish bilan shug‘ullanadi."
Jamiyat,"Istirohat bog‘lari, sayilgoh va xiyobonlarni xususiylashtirish taqiqlanishi kutilmoqda",Madaniy hordiq va dam olish maskanlari muhofazasi kuchaytiriladi.,"Oliy Majlis Qonunchilik palatasining majlisida aholining madaniy hordiq va dam olish maskanlari muhofazasini kuchaytirishga qaratilgan qonun loyihasi birinchi o‘qishda qabul qilindi.Ushbu qonun loyihasi “Adolat” SDP va Ekologik partiyaning Qonunchilik palatasidagi fraksiyalari a’zolari tomonidan ishlab chiqildi.“Qonun loyihasida Jinoyat kodeksi, Yer kodeksi, Muhofaza etiladigan tabiiy hududlar to‘g‘risidagi, Qishloq xo‘jaligiga mo‘ljallanmagan yer uchastkalarini xususiylashtirish to‘g‘risidagi va Davlat mulkini boshqarish to‘g‘risidagi qonunlarga tegishli qo‘shimcha va o‘zgartirishlar kiritish taklif etilmoqda”, — dedi deputat Xayrillo Gapporov.Hujjatda madaniy hordiq maskanlari, ularning yerlari hamda ushbu yerlardagi bino-inshootni begonalashtirishni, madaniy hordiq maskanlari hududini qisqartirish, ularda bino-inshoot qurish (yengil turdagi obyektlar bundan mustasno) yoki mavjud bino-inshootni qurilish osti maydonini kengaytirishni taqiqlash nazarda tutilmoqda.Bu turdagi huquqbuzarliklarni sodir etganlik uchun jinoiy javobgarlik kuchaytirilmoqda.Bundan tashqari, qonun loyihasi bilan “botanika bog‘lari” muhofaza etiladigan tabiiy hududlar ro‘yxatiga kiritilyapti. “Botanika bog‘lari” va ularning yerlarini ham begonalashtirish, ularning hududida bino-inshootlar qurish yoki qurilish osti maydonlarini kengaytirish taqiqlanmoqda.“Ushbu qonun loyihasining qabul qilinishi aholini dam olish maskanlari va boshqa yashil zonalarni muhofaza qilishning mustahkam huquqiy asosini yaratadi. Ushbu maskanlar va ularning hududlarini saqlab qolishga, ekologiya va atrof muhitning yaxshilanishiga hamda mansabdor shaxslarning masuliyatini oshirishga xizmat qiladi”, — dedi Gapporov.Quyi palata spikeri o‘z so‘zida qonun konsepsiyasi yaxshiligi, lekin “dam olish maskanlari” deganda aynan qanday joylar nazarda tutilganiga aniqlik kirish kerakligini qayd etdi.Majlisda qonun loyihasi deputatlar tomonidan birinchi o‘qishda qabul qilindi."
Rossiyaning Donbassdagi maxsus harbiy operatsiyasi ,Zelenskiy o‘z muddatini o‘tab bo‘lgan va hokimiyatda qolishda davom etmoqda — Taker Karlson,Karlson: piyodalarga qarshi minalar yetkazib berish Ukrainaning qonli mohiyatidan dalolat beradi.,"Xalqaro konvensiyalar tomonidan taqiqlangan piyodalarga qarshi minalarni yetkazib berish yana bir bor Ukrainaning qonli mohiyatidan dalolat beradi. Bu haqda amerikalik jurnalist Taker Karlson ijtimoiy tarmoqdagi ""Redacted"" kanaliga bergan intervyusida ma’lum qildi, deb yozmoqda RIA Novosti.“Ushbu mojaroda piyodalarga qarshi minalardan foydalanishning hech qanday asosi yo‘q, ularning yordami bilan hal qilib bo‘lmaydi. Bunday qadamning yagona ta’siri — begunohlarning o‘ldirilishi, shu xolos <...> Va ular (Kiyevda - tahrir) buni biladilar va qiladilar, chunki qotillik (ular uchun - tahrir) —  ma’no"", — dedi jurnalist.Karlson Vladimir Zelenskiyni ham tanqid qilib, u hokimiyatni tortib olgan va yangi muddatga saylanmagan diktator ekanligini eslatdi.""Ukraina prezidenti saylanmagan, u diktator, u tom ma’noda o‘z muddatini o‘tab bo‘lgan va hokimiyatda qolishda davom etmoqda <...> Bu mamlakatda xristian konfessiyasini taqiqlangan <...>  diktaturani totalitarizm deb atash uchun yana qanday xususiyatlarni sanab o‘tish kerak?”, — deya qo‘shimcha qildi u.Avvalroq Pentagon rahbari AQSh Ukrainani piyodalarga qarshi minalar bilan ta’minlay boshlaganini tasdiqlab, bu qadam piyoda qo‘shinlar bo‘linmalari yordamida tobora ko‘proq hujum uyushtirayotgan Rossiya qo‘shinlarining o‘zgargan taktikasiga javoban qilinganini ma’lum qilgandi."
Matbuot markazi,Anons: O‘zbekiston va Volgograd viloyati o‘rtasidagi hamkorlik istiqbollari muhokama etiladi,Sputnik O‘zbekiston matbuot markazining navbatdagi matbuot anjumani mehmonlari Volgograd viloyatidan kelgan ishbilarmonlar bo‘ladi.,"28 noyabr kuni soat 11:00 da Sputnik O‘zbekiston matbuot markazida navbatdagi matbuot anjdumani bo‘lib o‘tadi. Unda Rossiya Federatsiyasining Volgograd viloyati va O‘zbekiston o‘rtasidagi o‘zaro hamkorlikni rivojlantirish masalalari muhokama etiladi.Ishtirokchilar:""Volgograd viloyati eksportini qo‘llab-quvvatlash markazi"" ANT direktori Viktoriya Afanasova;Rossiya Federatsiyasining Volgograd viloyati Iqtisodiy siyosat va rivojlanish qo‘mitasining turizmni rivojlantirish, xalqaro va tashqi iqtisodiy aloqalar bo‘limi boshlig‘i vazifasini bajaruvchisi Yelena Popova.So‘nggi paytlarda Rossiya Federatsiyasining turli hududlaridan O‘zbekistonga kelayotgan ishbilarmonlik missiyalari soni sezilarli darajada oshgani ikki davlat o‘rtasidagi savdo-iqtisodiy aloqalarni mustahkamlashga xizmat qilmoqda.Matbuot anjumanida quyidagi savollarga javob beriladi: Volgograd kompaniyalari nimalar bilan tashrif buyurdi? Hamkorlik uchun qanday yangi imkoniyatlar bor?"
Jamiyat,Toshkentda avtobus va metro yo‘lkira narxlari oshishi kutilmoqda,Poytaxt yo‘nalishlaridagi barcha avtobuslar salonida yo‘l haqini naqd pulda olish amaliyotidan voz kechiladi.,"2025 yil 1-yanvardan Toshkentdagi avtobus va metropoliten qatnovlari uchun yo‘lkira narxi oshiriladi. Bu bo‘yicha Toshkent shahar hokimligi tegishli qaror loyihasini ishlab chiqdi.Hujjat bilan kelasi yil 1-yanvardan jamoat transporti yo‘nalishlarida (avtobus va metropoliten) qatnovlarni amalga oshirish uchun yo‘lkira haqining bir qator cheklangan tariflari belgilanmoqda.bir yo‘lovchi qatnovi uchun cheklangan tarif — 3000 so‘m. Bunda, bir yo‘lovchi qatnovi uchun 1-martalik to‘lovni elektron to‘lov tizimi orqali amalga oshirilganda rag‘batlantiruvchi chegirma qo‘llanilgan holda — 1 700 so‘m undiriladi; bir yo‘lovchining bagajini tashish bo‘yicha xizmat uchun — 4000 so‘m; qatnovlar soniga bog‘liq holda belgilangan tarif rejalarini hisoblash uchun cheklangan tarif — 1600 so‘m.“Qatnovlar soniga bog‘liq holda belgilangan transport kartalarining va transport kartalaridan foydalanilgan holda bir soat ichida bir yo‘nalishli yo‘lovchi transportidan boshqasiga o‘tish sonidan kelib chiqqan holda imtiyozli va bepul tarif rejalarining narxlari o‘zgarishsiz qoldirilsin”, — deyilgan hujjat matnida.Qayd etilishicha, poytaxt yo‘nalishlaridagi barcha avtobuslar salonida yo‘l haqini naqd pulda olish amaliyotidan voz kechiladi. Yo‘lkira haqini faqat elektron tarzda qabul qilish amaliyoti joriy etiladi.Ma’lumot uchun, hozirda bir yo‘lovchi qatnovi uchun cheklangan tariflar naqd pul bilan 2000 so‘m, barcha turdagi bank kartalari va ATTO transport kartasi orqali to‘lov uchun esa 1700 so‘m."
Iqtisod,Kelasi yil avtomobil sanoatini qanday o‘zgarishlar kutmoqda?,Kelasi yil 450 mingta avtomobil eksporti 700 million dollarga yetkaziladi.,"Prezident Shavkat Mirziyoyevga avtomobil sanoatida qilinayotgan ishlar va 2025-yilga mo‘ljallangan rejalar haqida axborot berildi, deya xabar berdi davlat rahbari matbuot xizmati.Ma’lum qilinishicha, mamlakat sanoatida avtomobilsozlik ulushi 10 foizni tashkil etadi. O‘tgan o‘n oyda 338 mingta yengil avtomobil ishlab chiqarilgan. 1 ming 400 turdagi butlovchi qismlar mahalliylashtirilgan. Iqtisodiy choralar natijasida sohada tannarx 4 foiz kamaygan. Eksport 455 million dollar bo‘lgan.“O‘zavtosanoat” aksiyadorlik jamiyati raisi oldindagi rejalar va vazifalar yuzasidan axborot berdi.Aytilishicha, kelasi yil 450 mingta avtomobil ishlab chiqarish va eksportni 700 million dollarga yetkazish maqsad qilingan.“Hududiy korxonalar bilan kooperatsiyani kuchaytirib, mahalliylashtirishni oshirish bo‘yicha aniq rejalar ishlab chiqilgan. Xususan, 700 ta detalni o‘zlashtirish bo‘yicha 325 million dollarlik 63 ta loyiha amalga oshiriladi”, — deyiladi xabarda.Kooperatsiya asosida mahalliy korxonalarga buyurtmalarni shakllantirish vazifasi qo‘yildi."
Siyosat,Endi asosiy oziq-ovqat mahsulotlarining tizimli hisob-kitobi yuritiladi — tafsilotlar,Mirziyoyev qishloq xo‘jaligi sohasidagi takliflar bilan tanishdi.,"Prezident Shavkat Mirziyoyev oziq-ovqat xavfsizligini ta’minlash, paxta va g‘alla hosildorligini oshirish bo‘yicha takliflar taqdimoti bilan tanishdi, deya xabar berdi davlat rahbari matbuot xizmati.Qayd etilishicha, O‘zbekiston aholisi yiliga qariyb 1 million nafarga o‘sib bormoqda. Yer va suv manbalari esa cheklangan. Shu bois ichki bozor barqarorligini omilkorlik va hosildorlik orqali ta’minlash mumkinligi aytildi.Taqdimotda qishloq xo‘jaligi vaziri shu boradagi rejalar haqida gapirib o‘tdi.Kelgusi yil 4 million 800 ming gektarda ekinlar yetishtirish mo‘ljallangan. Shundan 2 million gektardan ziyod yerda meva-sabzavot, kartoshka, dukkakli va poliz mahsulotlari ekiladi. Ularning dalalarda joylashtirilishi va hosilning zaxiraga jamlanishi monitoring qilib boriladi. Aholiga birlamchi zarur bo‘lgan 10 turdagi asosiy oziq-ovqat mahsulotlarining tizimli hisob-kitobi yuritiladi. Bunda har bir tuman kesimida qanday mahsulot yetishtirilishi va ichki bozor uchun qancha zaxira qilinishi mujassam bo‘ladi.Sayxunobod tajribasi asosida tomorqalarda mahsulot yetishtirish qo‘llab-quvvatlanmoqda. Ta’kidlanishicha, tumanlarning o‘zi qishloq xo‘jaligiga grant va texnik ko‘maklar jalb etishi, ilg‘or texnologiyalarni qo‘llashi talab etiladi.Davlat rahbari xorijiy tajribani o‘rganib, kartoshkachilik tizimini takomillashtirish va hosildorligini oshirish zarurligini aytdi.“O‘tgan yilgi qishda 9 ming gektar bog‘ va 4 ming gektar uzumzorni sovuq urgan edi. Oqibatda 207 ming tonna hosil nobud bo‘ldi. Prezidentimiz bunday ob-havo sharoitlarida dehqonlar zararining oldini olish bo‘yicha topshiriq bergan edi. Shunga muvofiq, xorijiy mutaxassislar bilan birga “Qishloq xo‘jaligi tavakkalchiliklarini sug‘urta qilish to‘g‘risida”gi qonun loyihasi ishlab chiqildi. Uning qabul qilinishi dehqon va fermerlarning iqtisodiy himoyasini ta’minlaydi”, — deyilgan xabarda.Paxtachilikda xorijiy navlarni ekishning natijadorligi tahlil qilindi.Davlat rahbari bu borada klaster, fermer va sanoat korxonalari fikrini o‘rganib, masalaga ilmiy yondashish, fermerlarni zamonaviy agrotexnologiyalarga o‘qitish muhimligini ta’kidladi.Zamonaviy paxta terish mashinasi va aholi tomorqalari uchun kichik agrotexnikalar ishlab chiqarish bo‘yicha topshiriqlar berildi.“Yashil makon” umummilliy loyihasi doirasida barpo etilayotgan daraxtzorlar trofi hamda dala chetlarida odamlarga manfaat keltiradigan ekinlar yetishtirish mumkinligi aytildi."
Siyosat,Shavkat Mirziyoyev Milliy olimpiya qo‘mitasi raisi etib saylandi,Milliy olimpiya qo‘mitasining Bosh assambleyasi bo‘lib o‘tdi.,"O‘zbekiston prezidenti Shavkat Mirziyoyev Milliy olimpiya qo‘mitasi (MOQ) raisi etib saylandi, deya xabar berdi davlat rahbari matbuot kotibi Sherzod Asadov o‘zining Telegram-kanalida.Qayd etilishicha, Milliy olimpiya qo‘mitasining Bosh assambleyasi bo‘lib o‘tdi.“Milliy olimpiya qo‘mitasi raisi lavozimiga O‘zbekiston Respublikasi Prezidenti Shavkat Mirziyoyev nomzodi ilgari surildi va bir ovozdan saylandi”, — deyiladi xabarda.Shuningdek, Bosh assambleya MOQ raisining birinchi o‘rinbosari lavozimiga Otabek Umarovni, rais o‘rinbosari lavozimiga Sherzod Tashmatovni, qo‘mita bosh kotibi lavozimiga Oybek Qosimovni sayladi.Yig‘ilishda O‘zbekiston bosh vaziri Abdulla Aripov, Prezident Administratsiyasi departamenti rahbari Odil Abdurahmanov, sport vaziri Adham Ikramov, Bosh assambleya a’zolari, shuningdek, federatsiya va assotsiatsiyalarning mas’ullari ham qatnashdi."
Video,Kamchatka o‘lkasi O‘zbekistonga baliq mahsulotlarini yetkazib berishni oshiradi – Morozova,"Yuliya Morozova: yetkazib berishda ham, sog‘lom turmush tarzi va sog‘lom ovqatlanish nuqtayi nazarini shakllantirishda ham yordam berishga tayyormiz.","Kamchatka o‘lkasi O‘zbekistonga baliq mahsulotlarini yetkazib berishni ikki baravarga oshiradi. Bu haqda Rossiyaning Kamchatka o‘lkasi hukumati raisi o‘rinbosari Yuliya Morozova Sputnik O‘zbekiston matbuot markazida bo‘lib o‘tgan anjumanda ma’lum qildi.“Joriy yilda O‘zbekistondagi birinchi hamkorimizga 143 tonna baliq mahsulotlarini yetkazib berdik. Yil oxirigacha bu ko‘rsatkichni ikki baravarga oshirishni mo‘ljallayapmiz”, — dedi Rossiyaning Kamchatka o‘lkasi hukumati raisi o‘rinbosari Yuliya Morozova.“Bugungi kunda O‘zbekistonda baliq mahsulotlari iste’moli aholi jon boshiga 3 kilogrammdan sal ko‘proqni tashkil etayotgan bo‘lsa, Jahon sog‘liqni saqlash tashkiloti kamida 12 kilogrammni tavsiya qiladi, dunyo bo‘yicha esa bu ko‘rsatkich o‘rtacha 20 kilogrammni tashkil etadi. Shu bois, biz, albatta, yetkazib berishda ham, sog‘lom turmush tarzi va sog‘lom ovqatlanish nuqtayi nazarini shakllantirishda ham yordam berishga tayyormiz"", – dedi u.Batafsil – Sputnik O‘zbekiston videosida."
